--2019-04-11 02:05:06--  http://178.157.14.138/media/nasaAstronauts.mp4
178.157.14.138:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 476587036 (455M) [video/mp4]
Kayıt yeri: `lead-out/nasaAstronauts.mp4'

 19050K .......... .......... .......... .......... ..........  4%  771K 98m9s
 19100K .......... .......... .......... .......... ..........  4%  797K 98m5s
 19150K .......... .......... .......... .......... ..........  4%  944K 97m59s
 19200K .......... .......... .......... .......... ..........  4%  945K 97m53s
 19250K .......... .......... .......... .......... ..........  4%  956K 97m47s
 19300K .......... .......... .......... .......... ..........  4% 1,02M 97m41s
 19350K .......... .......... .......... .......... ..........  4%  989K 97m34s
 19400K .......... .......... .......... .......... ..........  4%  778K 97m31s
 19450K .......... .......... .......... .......... ..........  4%  718K 97m28s
 19500K .......... .......... .......... .......... ..........  4%  586K 97m29s
 19550K .......... .......... .......... .......... ..........  4%  629K 97m28s
 19600K .......... .......... .......... .......... ..........  4%  661K 97m26s
 19650K .......... .......... .......... .......... ..........  4%  523K 97m28s
 19700K .......... .......... .......... .......... ..........  4%  454K 97m33s
 19750K .......... .......... .......... .......... ..........  4%  536K 97m35s
 19800K .......... .......... .......... .......... ..........  4%  689K 97m33s
 19850K .......... .......... .......... .......... ..........  4%  864K 97m28s
 19900K .......... .......... .......... .......... ..........  4%  883K 97m23s
 19950K .......... .......... .......... .......... ..........  4%  864K 97m19s
 20000K .......... .......... .......... .......... ..........  4%  803K 97m15s
 20050K .......... .......... .......... .......... ..........  4%  823K 97m11s
 20100K .......... .......... .......... .......... ..........  4%  784K 97m7s
 20150K .......... .......... .......... .......... ..........  4%  823K 97m3s
 20200K .......... .......... .......... .......... ..........  4%  653K 97m2s
 20250K .......... .......... .......... .......... ..........  4%  822K 96m58s
 20300K .......... .......... .......... .......... ..........  4%  810K 96m54s
 20350K .......... .......... .......... .......... ..........  4%  865K 96m49s
 20400K .......... .......... .......... .......... ..........  4%  809K 96m45s
 20450K .......... .......... .......... .......... ..........  4%  615K 96m45s
 20500K .......... .......... .......... .......... ..........  4%  560K 96m46s
 20550K .......... .......... .......... .......... ..........  4%  557K 96m47s
 20600K .......... .......... .......... .......... ..........  4%  622K 96m47s
 20650K .......... .......... .......... .......... ..........  4%  796K 96m43s
 20700K .......... .......... .......... .......... ..........  4%  731K 96m40s
 20750K .......... .......... .......... .......... ..........  4%  625K 96m40s
